"ID","MonthlyIncome"
"1",5463.89457380925
"3",9873.79952120841
"4",10008.3691709203
"7",2821.41954908633
"9",2619.56507451852
"12",2686.84989937446
"15",2922.34678637023
"17",5463.89457380925
"18",5430.25216138128
"22",5598.46422352112
"25",5396.60974895331
"27",5531.17939866518
"28",5396.60974895331
"32",3056.9164360821
"35",5463.89457380925
"42",5497.53698623722
"43",3157.84367336601
"44",19082.4195108995
"50",2787.77713665836
"53",2922.34678637023
"56",2754.1347242304
"58",2922.34678637023
"60",2619.56507451852
"62",9873.79952120841
"63",2686.84989937446
"66",2821.41954908633
"68",2754.1347242304
"70",3157.84367336601
"75",9873.79952120841
"77",9873.79952120841
"82",5766.67628566096
"86",15532.2103296942
"92",9907.44193363638
"93",2821.41954908633
"97",15296.7134426985
"99",2720.49231180243
"101",2787.77713665836
"102",9974.72675849231
"107",5531.17939866518
"109",5632.10663594909
"114",5733.03387323299
"123",10142.9388206322
"126",5531.17939866518
"133",5430.25216138128
"140",9941.08434606435
"142",2653.20748694649
"144",5430.25216138128
"145",5699.39146080502
"146",5329.32492409738
"147",2855.0619615143
"149",2787.77713665836
"150",5396.60974895331
"154",5564.82181109315
"157",5699.39146080502
"172",5733.03387323299
"173",10479.3629449118
"176",2653.20748694649
"182",5564.82181109315
"183",3191.48608579397
"192",9840.15710878044
"194",5665.74904837705
"198",15263.0710302705
"208",5766.67628566096
"213",2720.49231180243
"214",5463.89457380925
"215",2754.1347242304
"216",2855.0619615143
"230",15532.2103296942
"233",15363.9982675544
"245",5531.17939866518
"247",9907.44193363638
"248",2686.84989937446
"249",5598.46422352112
"253",2619.56507451852
"254",2653.20748694649
"256",2821.41954908633
"257",2653.20748694649
"266",2787.77713665836
"269",5497.53698623722
"272",5564.82181109315
"274",5564.82181109315
"285",2821.41954908633
"293",2821.41954908633
"300",2754.1347242304
"307",2855.0619615143
"312",15263.0710302705
"313",2821.41954908633
"314",5531.17939866518
"318",5329.32492409738
"320",2619.56507451852
"321",2754.1347242304
"325",15229.4286178425
"327",19048.7770984715
"332",10008.3691709203
"333",2787.77713665836
"335",19284.2739854673
"341",2787.77713665836
"353",5733.03387323299
"354",5463.89457380925
"356",5699.39146080502
"359",5497.53698623722
"360",3124.20126093804
"363",19385.2012227512
"365",19048.7770984715
"366",15734.0648042621
"368",5497.53698623722
"369",2720.49231180243
"370",5531.17939866518
"372",9873.79952120841
"376",15599.4951545502
"380",2821.41954908633
"387",9873.79952120841
"394",10277.508470344
"405",2787.77713665836
"406",15229.4286178425
"407",5632.10663594909
"411",2787.77713665836
"414",5329.32492409738
"416",5699.39146080502
"419",5665.74904837705
"423",5598.46422352112
"425",5362.96733652534
"432",2787.77713665836
"433",5867.60352294486
"434",2619.56507451852
"435",9907.44193363638
"438",2855.0619615143
"439",2686.84989937446
"440",5531.17939866518
"441",5531.17939866518
"442",2888.70437394227
"443",2754.1347242304
"448",5531.17939866518
"449",5531.17939866518
"453",5531.17939866518
"469",5430.25216138128
"470",5362.96733652534
"481",5396.60974895331
"485",10883.0718940474
"486",5463.89457380925
"488",2754.1347242304
"489",10311.150882772
"492",15363.9982675544
"495",5531.17939866518
"497",2855.0619615143
"501",10580.2901821957
"502",2787.77713665836
"503",3225.12849822194
"505",15397.6406799824
"506",5598.46422352112
"507",2619.56507451852
"510",19048.7770984715
"511",5531.17939866518
"512",9974.72675849231
"513",2922.34678637023
"514",10042.0115833483
"517",2619.56507451852
"521",2787.77713665836
"525",2821.41954908633
"527",5497.53698623722
"535",2821.41954908633
"536",2821.41954908633
"541",5531.17939866518
"546",2922.34678637023
"551",19015.1346860436
"563",2720.49231180243
"565",2821.41954908633
"568",5531.17939866518
"570",15263.0710302705
"571",5665.74904837705
"572",2619.56507451852
"576",5430.25216138128
"577",3258.77091064991
"579",5531.17939866518
"583",5699.39146080502
"587",5766.67628566096
"594",2922.34678637023
"595",10142.9388206322
"600",2787.77713665836
"607",5867.60352294486
"608",5463.89457380925
"609",2855.0619615143
"615",9873.79952120841
"616",5699.39146080502
"628",9941.08434606435
"629",10311.150882772
